name,symptoms
Неспецифический язвенный колит,"

  Ведущими проявлениями неспецифического язвенного колита являются частый жидкий стул с примесью крови, слизи или гноя, кровотечения из анального отверстия. При тяжелом течении частота стула достигает 20 раз в сутки и более (в том числе в ночное время). При НЯК пациенты жалуются на сильные схваткообразные боли в животе, усиливающиеся после еды. Иногда больные предъявляют жалобы на ложные позывы к дефекации и чувство неполного опорожнения кишечника.


"
Панкреатит,"
 
  
   сильная острая боль в животе с иррадиацией в спину (иногда описывается как опоясывающая боль);
  
  
   симптомы интоксикации (лихорадка, тошнота, рвота, общая слабость, снижение аппетита);
  
  
   кашицеобразный стул с непереваренными частицами пищи.
  
 

"
Печеночная недостаточность,
Питание при заболеваниях печени,
Постхолецистэктомический синдром,"
 
  
   тяжесть и тупые боли в правом подреберье;
  
  
   вздутие живота;
  
  
   непереносимость жирной пищи;
  
  
   отрыжка горечью;
  
  
   тошнота, рвота;
  
  
   желтуха;
  
  
   потливость.
  
 



  Признаки постхолецистэктомического синдрома появляются в различные сроки после операции. Симптомы могут носить непостоянный характер.


"
Проктит,"

  По клиническому течению проктит подразделяют на острый и хронический.




  
   Острый проктит
  
  имеет внезапное начало, сопровождается повышением температуры тела, ознобами, тенезмами (ложными позывами) на фоне запоров, ощущением тяжести в прямой кишке, сильным жжением в ней. Острый проктит встречается нечасто, но, возникнув, протекает тяжело вследствие выраженных субъективных местных ощущений.




  Острый проктит может проявляться в различных морфологических формах. Катарально-геморрагическая форма характеризуется гиперемией слизистой оболочки кишки и точечными рассеянными кровоизлияниями. При катарально-гнойной форме наблюдается гиперемия слизистой оболочки с наличием гноя на ее поверхности. Катарально-слизистая форма проявляется гиперемией слизистой оболочки прямой кишки с наличием на ее поверхности слизи. При полипозной форме на слизистой оболочке кишки выявляются полиповидные образования. Эрозивный проктит характеризуется наличием эрозий на слизистой оболочке кишки, язвенный проктит образованием язвенных дефектов.




  
   Язвенный проктит
  
  характеризуется наличием множественных эрозий или даже язв на слизистой оболочке прямой кишки. Язвенный проктит представляет одну из форм язвенного колита. Однако клиническое течение и методы лечения язвенного проктита отличаются. При язвенном проктите процесс, захвативший отрезок или всю прямую кишку, может не распространяться выше. Клинические проявления заболевания весьма характерны. Внезапно появляется кровь в виде капель на поверхности кала. Она может быть как яркой, так и темной, в виде незначительных сгустков. В дальнейшем появляются кровянистые или кровянисто-слизистые выделения перед стулом или при ложном позыве. Функция кишечника не нарушается. Больной, как правило, не испытывает никакой боли. Характерное для проктита ощущение жжения и зуда наблюдается редко. Лучевой язвенный проктит часто развивается не сразу, а спустя несколько месяцев после рентгенотерапии по поводу опухоли предстательной железы или женских половых органов. У больных появляются кровянистые выделения из прямой кишки, чувство тяжести, давления в кишке, частые ложные позывы.




  
   Хронический проктит
  
  в отличие от острого весьма распространен. Возникает незаметно, исподволь. Общие симптомы почти отсутствуют. Местные симптомы также выражены неярко: или только зуд в анальной области, или мокнутие, или жжение. Иногда все эти явления наблюдаются одновременно.




  Зачастую проявления хронического проктита настолько незначительны, что больной избегает обращения к врачу, пользуется домашними средствами и продолжает вести обычный образ жизни. Процесс же тем временем развивается: при употреблении острой пищи усиливается жжение в прямой кишке, появляются слизистые или слизисто-гнойные выделения, иногда на первый план выступает резкий зуд в области заднего прохода. Функция кишечника при этом обычно не нарушается.




  Хронический проктит может протекать в гипертрофической, нормотрофической и атрофической формах. При гипертрофическом проктите складки слизистой оболочки утолщены, рыхлые, при нормотрофическом имеют обычный вид, при атрофическом сглажены, слизистая оболочка истончена. Определяется различная степень гиперемии и отека слизистой оболочки, иногда контактная ее ранимость.


"
Рвота,"

  Вы можете справиться самостоятельно с рвотой, связанной с укачиванием, перееданием, большим количеством алкоголя или стрессом.




  Рекомендуется обратиться к врачу, если рвота возникает у пациентов, страдающих от диабета или других хронических заболеваний, если рвота продолжается в течение 48 ч.




  При рвоте, сопровождающейся острой и постоянной болью в животе или повторяющейся несколько раз после травмы головы, при появлении признаков обезвоживания, сухости во рту, интенсивном мочеиспускании, изменении умственной или функциональной деятельности у пожилых людей, а также при рвоте, сопровождающейся головной болью и ригидностью затылочных мышц, при примеси крови в рвотных массах или если они напоминают кофейную гущу, необходимо срочно обратиться за медицинской помощью (вызвать скорую помощь).


"
Рефлюкс-эзофагит,"

  Основным симптомом рефлюкс-эзофагита является изжога. Она может наблюдаться как в дневное, так и в ночное время, может усиливаться сразу после приема пищи и принятии горизонтального положения тела в пространстве, сопровождаться отрыжкой и икотой.




  У части больных наблюдается боль в грудной клетке, напоминающая боли в сердце. В тоже время рефлюкс-эзофагит может протекать без изжоги и боли в груди, а проявляться нарушением глотания. Как правило, нарушения глотания связаны с переходом заболевания на более тяжелую стадию с развитием рубцового сужения пищевода.


"
Синдром раздраженной толстой кишки,"
 
  
   боль в животе
  
  
   вздутие живота
  
  
   образование газов
  
  
   изменения в работе кишечника, например, запор или диарея.
  
 

"
Цирроз печени,
Язвенная болезнь желудка и двенадцатиперстной кишки,"

  Наиболее характерным проявлением язвенной болезни является боль в верхней части живота, которая чаще возникает на голодный желудок, т.е. между приемами пищи. Боль может возникать и ночью, заставляя пациента просыпаться и принимать пищу. Боль обычно стихает в первые 30 минут после еды. Менее специфичными, но встречающимися при язвенной болезни симптомами являются тошнота, тяжесть после приема пищи, чувство переполнения желудка, рвота, снижение аппетита, массы тела, изжога.


"
Аднексит,"

  
   Аднексит начинается остро, с подъема температуры до 39°С, периодических резких болей в нижней части живота с переходом в область поясницы и крестца. Иногда симптомы напоминают острый аппендицит. Менструальный цикл нарушается, месячные становятся болезненными и более длительными, возможны межменструальные кровотечения. Пациентки жалуются на боли при мочеиспускании, а также на характерные водянистые, а иногда и гнойные выделения (бели). Боли в животе возникают также при половом акте и сохраняются некоторое время после него.
  




  
   Без лечения аднексит может перейти в хроническую форму. При этом симптомы становятся менее выраженными, боли постоянные, ноющие. При переохлаждении, стрессе возможно обострение хронического аднексита.
  




  
   Воспаление придатков чревато осложнениями. При остром аднексите воспаление может перейти на брюшину с развитием перитонита, что потребует немедленного хирургического лечения. Отдаленные последствия
  
  —
  
   это, прежде всего, спаечный процесс в области маточных труб, который, в свою очередь, повышает риск внематочной беременности и бесплодия. Иногда бесплодие может быть единственным признаком, позволяющим заподозрить хронический аднексит.
  


"
Апоплексия яичника,"

  Клинические симптомы апоплексии связаны с основным механизмом развития данной патологии:




  
   Болевой синдром, который возникает прежде всего в середине цикла или после незначительной задержки менструации (при разрыве кисты желтого тела, например). Боли чаще всего локализуются в нижних отделах живота. Иногда боли могут иррадиировать в прямую кишку, в поясничную или пупочную область.
  
  
   Кровотечение в брюшную полость, которое может сопровождаться:
  



 
  
   снижением давления,
  
  
   увеличением пульса,
  
  
   слабостью и головокружением,
  
  
   синкопальными состояниями,
  
  
   ознобом, повышением температуры тела до 38°С,
  
  
   однократной рвотой,
  
  
   сухостью во рту.
  
 



  Иногда могут возникать межменструальные кровяные выделения или кровяные выделения после задержки менструации.




  Достаточно часто, апоплексия яичника происходит после полового акта или занятия в тренажерном зале, то есть при определенных условиях, когда повышается давление в брюшной полости и возможно нарушение целостности ткани яичника. Однако, разрыв яичника может произойти и на фоне полного здоровья.


"
Атрофический вагинит,"

  Наиболее частые клинические проявления атрофического вагинита:



 
  
   сухость, зуд, жжение во влагалище;
  
  
   непостоянные кровянистые выделения из влагалища;
  
  
   частые позывы на мочеиспускание;
  
 



  При осмотре гинеколога определяется истончение и сглаживание слизистой влагалища, наличие кровоточивости при любом контакте.




  В некоторых случаях атрофический вагинит протекает бессимптомно.


"
Бактериальный вагиноз,"

  Основной симптом бактериального вагиноза — выделения из влагалища, которые имеют неприятный запах. Его часто сравнивают с запахом несвежей рыбы. Этот симптом связан с жизнедеятельностью микроорганизмов, которые в норме не обитают во влагалище. В начале выделения являются жидкими, имеют серый или белый оттенок. В дальнейшем они становятся зелеными, желтыми, появляется пена. Нередко это единственное проявление бактериального вагиноза, которое беспокоит женщину. Может беспокоить жжение, зуд, дискомфорт во влагалище. Во время полового акта возникают неприятные ощущения.


"
Беременность,
Бесплодие,
Внематочная беременность,
Воспалительные заболевания матки и шейки матки,
Выкидыши,"
 
  
   постоянные выделения из влагалища
  
  
   кровотечение в сочетании с болью в центре нижней части живота и иногда болью в спине.
  
  
   наличие сгустков крови в выделениях из влагалища.
  
 

"
Генитальный герпес,"

  Наблюдается болезненное состояние такое же, какое возникает при простуде, сопровождающейся высыпанием пузырьков на губах.


"
Контрацепция,
Менопауза,"

  Гормональные нарушения, которые происходят до и после наступления менопаузы, имеют разную симптоматику. Симптомы менопаузы могут включать: нерегулярность циклов, приливы крови, сухость во влагалище, проблемы с мочеполовой системой, изменения настроения и плохой сон.




  Менструальный цикл становится нерегулярным еще до наступления менопаузы. Цикл может становиться длиннее или короче, выделения могут быть сильнее или слабее, чем раньше. Кровянистые выделения могут быть в и середине цикла.




  Приливы — это ощущение, когда нарастающие волны жара начинаются в области грудной клетки и распространяется на шею, лицо, руки. Приливы возникают в среднем раз в час и обычно длятся 3-4 мин. Приливы часто сменяются значительным потоотделением, а затем ознобом; они могут возникать в любое время, даже ночью во время сна (это называется ночной потливостью). Три из четырех женщин испытывают приливы во время менопаузы, но только у одной из четырех эти приливы могут продолжаться более 5 лет.




  Сухость во влагалище может быть результатом пониженного уровня эстрогена в организме. При нехватке эстрогена стенки влагалища теряют свою эластичность, истончаются и выделяют меньше секрета. Сухое и неэластичное влагалище может вызывать чувство дискомфорта во время полового акта.




  Недержание мочи также развивается из-за пониженного уровня эстрогена в организме, что снижает мышечный тонус мочеполового тракта.




  Изменчивость настроения и плохой сон могут отмечаться как до, так и после наступления менопаузы. Научные исследования говорят в пользу прямой зависимости между низким гормональным уровнем и депрессией, раздражительностью, усталостью, проблемами со сном и т.д., симптомами, которые обычно испытывает женщина во время менопаузы.


"
Микоплазмоз,
Молочница,"

  Женщины, страдающие молочницей, жалуются на раздражение и жжение во влагалище, а также на обильные выделения, внешне напоминающие творог.


"
Нарушения месячных у женщин,
Невынашивание,"
 
  
   влагалищное кровотечение или коричневатые мажущие выделения;
  
  
   приступы острой боли в животе одновременно с болью в нижней части спины;
  
  
   иногда головокружение и неясность зрения.
  
 

"
Полипы шейки матки,"

  Полип шейки матки может протекать совершенно бессимптомно. Зачастую диагноз ставят при профилактическом осмотре у гинеколога.




  Возможные симптомы могут включать:



 
  
   кровянистые выделения во время или после полового акта (полип механически травмируется во время полового акта);
  
  
   пред- и постменструальной кровянистые выделения из влагалища;
  
  
   обильные менструальные кровотечения;
  
  
   обильные слизистые выделения из влагалища.
  
 



  Кроме того, наличие полипа шейки и тела матки может стать причиной бесплодия. Полип в таком случае мешает имплантации плодного яйца.


"
Послеродовый период,
Предменструальный синдром,"

  Физические симптомы:



 
  
   повышенная чувствительность или даже болезненность груди,
  
  
   увеличение груди,
  
  
   задержка жидкости в организме, приводящая к отечности ног и рук и к прибавке в весе около 2 кг,
  
  
   головные боли, в особенности мигрени,
  
  
   тошнота, рвота и головокружение,
  
  
   боль в мышцах и суставах и специфическая боль в спине,
  
  
   в некоторых случаях запор, диарея,
  
  
   сильная жажда и учащенное мочеиспускание,
  
  
   тяга к еде, особенно к солёному или сладкому, непереносимость спиртного,
  
  
   вялость, усталость или наоборот, энергичность,
  
  
   сильное сердцебиение и приливы крови к лицу,
  
  
   увеличение количества прыщей.
  
 



  Психологические симптомы:



 
  
   частые смены настроения,
  
  
   депрессия, хандра, чувство подавленности,
  
  
   постоянная напряжённость и раздражительность,
  
  
   бессонница или продолжительный сон,
  
  
   рассеянность и забывчивость.
  
 



  Некоторые женщины могут испытывать более сильные симптомы:



 
  
   паника
  
  
   мысли о суициде
  
  
   агрессивность, склонность к насилию.
  
 

"
Резус-конфликт при беременности,"

  Резус-несовместимость между матерью и ребёнком, без иммунизации, приводит к
  
   резус-конфликту
  
  , заболеванию, характеризующемуся следующими симптомами:



 
  
   присутствие в крови матери антител к резус-фактору;
  
  
   гемолитическое заболевание плода, приводящее к анемии и нарушению функционирования органов;
  
  
   желтуха у новорождённого ребенка, анемия, а также гипоксические (связанные с недостатком кислорода) повреждения мозга и сердца (иногда настолько серьёзные, что приводят к смерти).
  
 

"
Родовые травмы,
Синдром поликистозных яичников,"

  Симптомы могут проявиться в любом возрасте. Могут развиться в течение пубертатного периода, и тогда менструальный период может задержаться или вообще не прийти. Девушки могут страдать избыточным весом и иметь рост волос по мужскому типу, например, на груди и на лице. Также у них может быть нарушен менструальный цикл, а менструальное кровотечение быть достаточно тяжелым.




  У каждой женщины симптомы могут немного отличаться, хотя обычно наблюдаются отдельные или все из следующих симптомов:



 
  
   избыточный рост волос на лице, груди и животе;
  
  
   отсутствие или нерегулярные менструальные кровотечения;
  
  
   кровотечения из матки;
  
  
   
    повышенное артериальное давление
   
   ;
  
  
   прыщи;
  
  
   
    ожирение
   
   в области талии;
  
  
   тонкие волосы и
   
    облысение по мужскому типу
   
   ;
  
  
   
    бесплодие.
   
  
 



  Как мы уже упоминали, синдром поликистозных яичников сопровождается симптомами
  
   диабета
  
  , такими как полнота или усиленное мочевыделение,
  
   вагинальная молочница (кандидоз)
  
  или хронические кожные инфекции.




  Поликистоз яичников виден при ультразвуковом исследовании, хотя и не всегда. У 20% женщин (не прошедших ещё через менопаузу), не имеющих симптомов поликистоза как такового, при ультразвуковом исследовании обнаруживают поликистозные яичники.


"
Фибромиомы матки,"

  Большинство фибром матки бессимптомны, но крупные опухоли могут обуславливать следующие симптомы:



 
  
   длительные и болезненные менструальные кровотечения;
  
  
   кровотечения в межменструальный период;
  
  
   чувство переполненности или тяжести внизу живота;
  
  
   частое мочеиспускание (если деформированная матка давит на мочевой пузырь);
  
  
   
    запор
   
   (если опухоль давит на кишечник);
  
  
   боль в нижней части спины;
  
  
   болезненность при половом акте:
  
  
   увеличение размеров живота;
  
  
   
    выкидыши
   
   ,
   
    бесплодие
   
   .
  
 

"
Фолликулярная киста яичника,
Экстракорпоральное оплодотворение,
Эндометриоз,"

  Типичными клиническими симптомами являются болезненные менструации, боли в области малого таза, бесплодие, пред- и постменструальные мажущие выделения, маточные кровотечения. Реже наблюдаются боли при дефекации и при половом сношении. При вовлечении в патологический процесс соседних органов (прямой кишки, мочевого пузыря) могут наблюдаться запоры, учащенное мочеиспускание, гематурия и др. Характерным признаком эндометриоза шейки матки являются кровянистые выделения из половых путей в межменструальном периоде. При эндометриозе влагалища могут отмечаться кровянистые выделения из половых путей до и после менструации, а при прорастании стенки влагалища возникают боли во влагалище во время менструации, при половом сношении.




  Аномально расположенные ткани эндометрия и развившийся спаечный процесс могут значительно нарушать функцию пораженных органов (кишечная непроходимость, бесплодие (в 20-25% случаев).




  Однако эндометриоз может протекать и практически бессимптомно, и женщина может не догадываться о своем заболевании. Именно поэтому так важно регулярно проходить профилактические осмотры у гинеколога, включая УЗИ-диагностику и сдачу различных анализов.




  Кроме того, диагностика эндометриоза осложняется тем, что существует ряд иных патологий органов малого таза, имеющих сходную клиническую картину. Поэтому при малейшем подозрении на эндометриоз рекомендуется пройти полный комплекс диагностических процедур, который включает клиническое и гинекологическое обследование, УЗИ-диагностику эндометриоидных кист и аденомиоза, гистеросальпингографию, лапароскопию и гистероскопию.


"
Эрозия шейки матки,"

  Часто дисплазия шейки матки протекает без каких-либо проявлений. При наличии инфекции ВПЧ могут выявляются остроконечные кондиломы вульвы, влагалища или заднего прохода.


"
Атопический дерматит,"

  Для атопического дерматита характерно рецидивирующее течение с периодами обострений, которые возникают при повторном взаимодействии с аллергеном (например, при употреблении определенных продуктов в пищу или при контакте с животным). На частоту обострений влияют также сезон года (обострения чаще возникают в осенне-зимний период), эмоциональные нагрузки и другие факторы.




  Главным симптомом заболевания является сухость и зуд кожи. Обострения сопровождаются распространенным отеком и покраснением кожи, появлением красных пятен с расплывчатыми границами, бляшек. В результате расчесывания на коже появляются эрозии, сопровождающиеся мокнутием. В случае занесения в кожу инфекции в местах поражения появляются гнойнички. Излюбленной локализацией атопического дерматита являются сгибательные поверхности суставов, передние и боковые поверхности шеи, лоб, виски, запястья, тыльная поверхность кистей и стоп.


"
Бородавки,"

  Бородавки выглядят как шероховатые выпуклые узелки на коже, которые могут быть как одиночными, так и в форме скоплений. Подошвенные бородавки обычно плоские и плотные из-за сильного давления.




  Рекомендуется обратиться к врачу, если подошвенная бородавка причиняет боль, дискомфорт и мешает ходить, нужно обратиться к врачу.


"
Витилиго,"

  Заболевание имеет, как правило, хроническое течение, морально угнетающее больного и вызывающее дискомфорт. Начинается болезнь с появления на коже слегка розовых или молочно-белого цвета пятен. Постепенно пятна увеличиваются, приобретают различную величину, четкие границы, округлые или овальные очертания. Разрастаясь, пятна склонны к слиянию друг с другом, образуя обширные очаги. Очаги могут быть одиночными или множественными, располагаются на любом участке кожного покрова, чаше всего на открытых местах: на лице, на шее, верхних и нижних конечностях, крупных складках в области наружных половых органов, заднего прохода.




  Очаги располагаются чаще симметрично, иногда имеются односторонние поражения, нередко локализация по ходу нервных стволов. В очагах волосы изменяют цвет, бледнеют; нарушаются потоотделение и салоотделение, сосудодвигательный и мышечно-волосковый рефлексы (обесцвеченная кожа теряет способность реагировать на холодовые и прочие раздражители, при которых образуется так называемая «гусиная кожа»).




  Часто витилиго сопровождается солнечными дерматитами.




  Наиболее выраженной степенью развития витилиго является универсальное поражение, когда вся кожа становится депигментированной.




  Субъективных ощущений у больных витилиго нет, и беспокоит их, как правило, лишь косметический дефект. Отдельные пятна могут самопроизвольно исчезать. Больному следует избегать длительного пребывания на солнце, так как на загоревшей коже белые пятна выделяются сильнее.




  При прогрессировании витилиго очаги депигментации появляются на местах недавних травм, на участках трения или давления на кожу.


"
Выпадение волос,"

  Частичное облысение у мужчин:



 
  
   линия роста волос постепенно сдвигается в сторону затылка, сначала волосы выпадают у висков, затем на макушке.
  
 



  Полное облысение:



 
  
   волосы истончаются и выпадают на всей поверхности кожи головы.
  
 



  Локальное облысение:



 
  
   волосы выпадают только на некоторых участках;
  
  
   истончение волос.
  
 



  В некоторых случаях выпадение волос отмечается в течение 3 месяцев с момента родов, хирургических операций или тяжелых перенесенных заболеваний. Рекомендуется обратиться к врачу при выпадении волос, которое может быть связано с приемом лекарственных препаратов, или если выпадение волос сопровождается болью, воспалением и чувствительностью кожи головы, появлением чешуек, коросты, язв или выделением гноя на коже головы, а также при выпадении бровей и ресниц или потеря волос на других участках тела.


"
Демодекоз,"

  Демодекоз чаще всего проявляется фолликулитом (воспалением волосяных фолликулов кожи). В зависимости от локализации это могут быть небольшие гнойнички (папулы или пустулы) в месте выхода волоса, располагаются на воспаленной, гиперемированной коже.




  Демодекоз век сопровождается зудом, отеком и гиперемией краев век, появлением чешуек у корней ресниц. Как правило, больные жалуются на быстрое утомление глаз. Характерен вид пораженного века: налет по краю век, реснички слипшиеся, окружены корочками в виде муфты.


"
Дерматит,"

  Простой дерматит протекает остро или хронически. Для острых дерматитов характерны яркое воспаление, сопровождающееся зудом, жжением, болью, а иногда — образование пузырей и участков некроза, оставляющих рубцы.




  Хронические дерматиты проявляются застойным отеком, синюшностью, утолщением кожи, лихенификацией (шелушением), трещинами, усиленным ороговением, иногда атрофией кожи.




  Для острых проявлений аллергического контактного дерматита и атопического дерматита также свойственны яркое покраснение кожи с выраженным отеком. Далее могут появляться пузырьки и даже пузыри, вскрывающиеся и оставляющие мокнущие эрозии (мокнутие). Затухающее воспаление оставляет корки и чешуйки.


"
Дисгидроз,"

  Обострения заболевания обычно случаются весной и осенью. Дисгидроз поражает кожу ладоней и пальцев кистей, подошв ног. Реже – тыльные поверхности кистей и стоп. Появляются мелкие, размером с булавочную головку, пузырьки, внутри которых находится прозрачная жидкость с розоватым оттенком. Они плотные. Больного беспокоит зуд и жжение. В месте расположения пузырьков кожа отечна, имеется покраснение.




  Во время обострения кожа ладоней становится грубой, начинает шелушиться, сильно зудеть. Дисгидроз – не заразное заболевание. Но оно портит внешний вид больного и причиняет ему немало страданий.


"
Заболевания кожи,
Зуд кожи,
Импетиго,
Келоидные рубцы,
Кожная сыпь у детей,"
 
  Корь
 



  При этой вирусной инфекции сыпь чаще всего появляется не сразу, а спустя 2-4 дня после того, как начала повышаться температура и появились катаральные явления (покраснение горла, насморк, кашель). Сыпь при кори распространяется сверху вниз: появляется сначала на лице и голове, затем на верхней половине туловища и руках, затем спускается ниже и на ноги, покрывая за 3 дня все тело. Пятна слегка приподняты над поверхностью кожи, они крупные и могут сливаться.



 
  Ветряная оспа (в народе ветрянка)
 



  Высыпания при ветряной оспе появляются чаще на лице, волосистой части головы, туловище. Их характер меняется по ходу болезни: слегка выступающие над кожей красные пятна за несколько часов превращаются в пузырьки с прозрачным, затем мутнеющим содержимым. Размер ветряночных пузырьков не более 4-5мм. В дальнейшем они подсыхают и на их месте образуются буроватые корочки. Сыпь при ветрянке всегда сопровождается зудом. Очень важная особенность этого вида сыпи подсыпания (появление новых элементов), чему нередко сопутствует очередной всплеск температуры.




  Краснуха
 



  Сыпь при краснухе появляется вместе с признаками интоксикации, лихорадкой, увеличением затылочных лимфатических узлов. Многочисленные мелкие пятнышки (не более 3-5 мм в диаметре) появляются за несколько часов, распространяются сверху вниз, но значительно быстрее, чем при кори за сутки сыпь доходит до ног, держится сыпь в среднем три дня, потом исчезает бесследно. Характерной локализацией являются разгибательные поверхности рук и ног, ягодицы. Следует помнить, что эта вирусная инфекция опасна для беременных женщин из-за неблагоприятного влияния на плод. Поэтому если вы заподозрили у своего ребенка краснуху не приглашайте в гости беременных.




  Скарлатина
 



  Болезнь начинается с признаков классической ангины. Сыпь подключается к ним, как правило, на вторые сутки. Она представляет собой мелкоточечные элементы, покрывающие всю поверхность тела. Особенно много их в паховых складках, локтевых сгибах, в подмышечных впадинах, внизу живота. На месте наиболее обильных высыпаний кожа красная, припухлая, горячая на ощупь. Через 2-3 дня симптомы болезни, в том числе и сыпь, сходят на нет, что сопровождается сильным шелушением кожи.



 
  Аллергическая сыпь
 



  Почти всегда появляется внезапно, нередко сопровождается обильным насморком и слезотечением, сильно зудит. Высыпания рельефные, хорошо заметные. Прием противоаллергических препаратов устраняет и зуд, и саму сыпь.




  Чесотка
 



  При чесотке сыпь сопровождается мучительным зудом и выглядит как точечные элементы, часто расположенные попарно, в 2-3 мм друг от друга. Типичная локализация кисти и межпальцевые промежутки, поверхность живота.



 
  Следы от укусов
 



  Следы от укусов комаров и других насекомых часто принимают за инфекционную сыпь. На месте укуса образуется красный зудящий бугорок (папула). Характерная локализация, сезон года, место проживания и отсутствие дополнительных симптомов помогут вам и вашему доктору отличить такую сыпь от инфекционной.


"
